medicion,tiempo,lambda,reflectancia
697,78.49544609999975,531.7232631072204,0.10721521910171851
697,78.49544609999975,532.8549872031108,0.10702570738497759
697,78.49544609999975,533.9870406436839,0.1068462029712803
697,78.49544609999975,535.1194229186948,0.10612664802651564
697,78.49544609999975,536.2521335178988,0.1045727050724976
697,78.49544609999975,537.3851719310513,0.10275549629991881
697,78.49544609999975,538.5185376479076,0.10187680446777862
697,78.49544609999975,539.6522301582229,0.10228834846545469
697,78.49544609999975,540.7862489517527,0.1028403290842477
697,78.49544609999975,541.9205935182521,0.10224664783601758
697,78.49544609999975,543.0552633474764,0.10106373023887635
697,78.49544609999975,544.190257929181,0.10103325682884763
697,78.49544609999975,545.3255767531211,0.10230238745179204
697,78.49544609999975,546.4612193090522,0.10325439461172554
697,78.49544609999975,547.5971850867293,0.10315757625186237
697,78.49544609999975,548.733473575908,0.10281107766544349
697,78.49544609999975,549.8700842663433,0.10311141398011699
697,78.49544609999975,551.0070166477908,0.10434756281942217
697,78.49544609999975,552.1442702100055,0.10580997632643825
697,78.49544609999975,553.2818444427428,0.10639397522113096
697,78.49544609999975,554.4197388357582,0.10649626220914168
697,78.49544609999975,555.5579528788068,0.10738724162860117
697,78.49544609999975,556.6964860616439,0.10881006110093407
697,78.49544609999975,557.8353378740248,0.1096737010631646
697,78.49544609999975,558.9745078057049,0.10976268244801628
697,78.49544609999975,560.1139953464394,0.10959030264246053
697,78.49544609999975,561.2537999859837,0.10984267514473979
697,78.49544609999975,562.3939212140929,0.1106302216586138
697,78.49544609999975,563.5343585205226,0.11106993403385367
697,78.49544609999975,564.6751113950278,0.11059306342120087
697,78.49544609999975,565.8161793273639,0.1098958071311204
697,78.49544609999975,566.9575618072863,0.10940005824138585
697,78.49544609999975,568.0992583245502,0.10827363070279925
697,78.49544609999975,569.2412683689108,0.10613184874683183
697,78.49544609999975,570.3835914301237,0.10411639115818294
697,78.49544609999975,571.5262269979439,0.1032832711372192
697,78.49544609999975,572.6691745621268,0.10319822510350178
697,78.49544609999975,573.8124336124279,0.10258174302874047
697,78.49544609999975,574.9560036386022,0.10080587775564122
697,78.49544609999975,576.0998841304049,0.09888114179089173
697,78.49544609999975,577.2440745775917,0.09843818843956538
697,78.49544609999975,578.3885744699177,0.0995719976652416
697,78.49544609999975,579.5333832971381,0.10111965437193245
697,78.49544609999975,580.6785005490084,0.10254263422415089
697,78.49544609999975,581.8239257152837,0.10400871101055256
697,78.49544609999975,582.9696582857196,0.10579668301049902
697,78.49544609999975,584.1156977500709,0.10858835855393272
697,78.49544609999975,585.2620435980934,0.11293915217775324
697,78.49544609999975,586.4086953195422,0.11822339571853911
697,78.49544609999975,587.5556524041724,0.12369489005144939
697,78.49544609999975,588.7029143417396,0.1297927473069181
697,78.49544609999975,589.850480621999,0.13692550368171744
697,78.49544609999975,590.9983507347058,0.14468105737499526
697,78.49544609999975,592.1465241696155,0.1527076062612214
697,78.49544609999975,593.2950004164833,0.16062889280341716
697,78.49544609999975,594.4437789650644,0.16761598634999322
697,78.49544609999975,595.5928593051142,0.17332597688243745
697,78.49544609999975,596.7422409263879,0.17878133947055946
697,78.49544609999975,597.8919233186409,0.1853485119050418
697,78.49544609999975,599.0419059716285,0.19332323943730012
698,78.60739719999947,500.1707739569035,0.12704776003664248
698,78.60739719999947,501.2930692423329,0.1241903608712061
698,78.60739719999947,502.41570815929646,0.12517944265547137
698,78.60739719999947,503.53869019754956,0.12753888274204134
698,78.60739719999947,504.6620148468475,0.12863334533647322
698,78.60739719999947,505.7856815969456,0.12923304612593978
698,78.60739719999947,506.90968993759907,0.13023187749411672
698,78.60739719999947,508.03403935856323,0.13025779926036984
698,78.60739719999947,509.1587293495935,0.128901293324077
698,78.60739719999947,510.28375940044504,0.1284616966722638
698,78.60739719999947,511.4091290008732,0.130088601776915
698,78.60739719999947,512.5348376406332,0.131846341345766
698,78.60739719999947,513.6608848094804,0.1320766548295778
698,78.60739719999947,514.7872699971703,0.1308070003124434
698,78.60739719999947,515.9139926934579,0.12848412814432397
698,78.60739719999947,517.0410523880985,0.12582086099128964
698,78.60739719999947,518.1684485708477,0.12351002161665632
698,78.60739719999947,519.2961807314604,0.12192738118361153
698,78.60739719999947,520.4242483596922,0.12146077303465408
698,78.60739719999947,521.5526509452982,0.12167782064946116
698,78.60739719999947,522.6813879780339,0.12077964882219692
698,78.60739719999947,523.8104589476545,0.11805620948997891
698,78.60739719999947,524.9398633439152,0.11537554786130075
698,78.60739719999947,526.0696006565715,0.11393384585029442
