wavelength_nm,reflectance,reflectance_std
439.87071364841387,0.04298528934009887,0.0012739608413371354
440.3118319297505,0.04324052196589358,0.0011937236460144564
440.7530096659581,0.04348436186415552,0.0010855279491681729
441.1942468243811,0.04371338489167014,0.0009642004674587784
441.63554337236377,0.043929543130103214,0.0008566346495939086
442.0768992772505,0.04413853708125662,0.0007812284727425742
442.5183145063856,0.044347695209930635,0.0007367762062705708
442.9597890271134,0.04456414374028893,0.0007171937703930896
443.40132280677835,0.04479350276252849,0.0007273478103532833
443.8429158127245,0.04503898040880881,0.0007704894007851047
444.28456801229663,0.0453007828927638,0.0008281777064108047
444.7262793728387,0.0455760373108077,0.0008682781920324163
445.1680498616952,0.045859529714299935,0.0008684749696200438
445.6098794462104,0.04614527842059657,0.0008294504284637668
446.0517680937288,0.046428469804756685,0.0007726071796422028
446.49371577159457,0.04670695051066855,0.0007246294520953871
446.9357224471521,0.04698155991770448,0.0006972761218949726
447.3777880877458,0.04725508665627339,0.0006836323331808798
447.81991266071987,0.047530267014571866,0.0006791476127587457
448.2620961334187,0.04780769727103925,0.0007024949814049727
448.7043384731868,0.0480846809765776,0.000787196283282141
449.14663964736826,0.048355877274147085,0.0009456922847153988
449.5889996233075,0.04861607721748828,0.0011569024372474672
450.0314183683489,0.04886442984425339,0.0013891664589003004
450.4738958498368,0.049108240977753785,0.0016172222454625248
450.9164320351156,0.04936381109126513,0.0018225776078377224
451.3590268915294,0.04965241276099253,0.0019882882419485375
451.80168038642285,0.049991564072558635,0.002099012498561447
452.2443924871401,0.05038450728677233,0.00215039358621463
452.68716316102547,0.0508129065333687,0.002160728633290106
453.1299923754234,0.051237796993928365,0.0021699018658289876
453.5728800976782,0.051610990713775555,0.0022162959621386427
454.01582629513416,0.051894168720905916,0.0023093722452867203
454.4588309351356,0.05207807633897233,0.0024322525875060583
454.901893985027,0.05219247976815624,0.002569955126274799
455.34501541215263,0.05230047656936943,0.0027224035892285943
455.78819518385677,0.05247751175843514,0.0028869369066279074
456.2314332674838,0.05278291187510655,0.0030376036662685146
456.67472963037807,0.05323598499359958,0.0031313361909296655
457.1180842398839,0.053807105121942,0.0031357810646485715
457.56149706334566,0.0544272729472611,0.003053262263564741
458.00496806810764,0.055011280477880176,0.0029253756105796502
458.4484972215142,0.05548446789088748,0.0028150402308968624
458.89208449090967,0.055803355959175675,0.0027711891009292063
459.33572984363843,0.05596472215382439,0.002800785106711036
459.7794332470448,0.056002614270704215,0.0028811877079075923
460.2231946684731,0.05597593930815176,0.0030016346511140954
460.66701407526773,0.05595051214836696,0.0031818016386971093
461.11089143477295,0.055980069541608446,0.003440610883173008
461.5548267143331,0.0560914088997559,0.003750947198176331
461.99881988129255,0.0562785567063474,0.004039020540507714
462.44287090299565,0.05650833964372875,0.004227141097772813
462.8869797467867,0.05673522689958312,0.004273057855963386
463.3311463800101,0.056919292887869156,0.004180688539553536
463.77537077001017,0.05704026633320493,0.003988848124794174
464.21965288413116,0.05710323111973111,0.0037588849524664942
464.6639926897176,0.05713545030242929,0.003576254397062944
465.10839015411364,0.057176652325327544,0.0035473509461984042
465.5528452446637,0.05726633172027148,0.0037432091678452537
465.9973579287121,0.057431757515813246,0.004117876331449845
466.4419281736032,0.05767986476357513,0.004520290630100348
466.8865559466813,0.05799498858038078,0.004788091633787797
467.3312412152908,0.05834260550384147,0.004825757741536679
467.775983946776,0.05867752607172132,0.004645835952090472
468.22078410848127,0.05895407620621965,0.004383873312119906
468.6656416677509,0.05913594457381178,0.004264261582031177
469.1105565919292,0.05920416561099681,0.004459037654812096
469.55552884836067,0.05916232754073845,0.004927254925733193
470.00055840438944,0.05903795473035517,0.00547116770227773
470.44564522736005,0.05887858355136902,0.00591213851158638
470.89078928461663,0.05874157487813662,0.006174971481897662
471.3359905435037,0.05867894671843567,0.006277678345067031
471.7812489713655,0.05872167718727685,0.0062728269350005375
472.22656453554646,0.0588697172769795,0.006187210408519831
472.67193720339077,0.05909239071578805,0.006014502880319464
473.1173669422429,0.05933944809316235,0.005768483581984888
473.56285371944716,0.059558380220749926,0.00553384967853316
474.00839750234786,0.059711203228612196,0.00543815688836537
474.45399825828935,0.059784992019110764,0.005538417399064079
474.8996559546159,0.05979427782571999,0.005747996350498669
475.3453705586721,0.05977734622121785,0.0059089895709477855
475.79114203780193,0.05978954495724064,0.0059137678869958556
476.23697035935,0.0598946061801236,0.005761643817409081
476.68285549066053,0.060152557195881085,0.005542646289815639
477.1287973990779,0.06060331871640464,0.005373014340650298
477.5747960519464,0.061248905863221584,0.0053159246179599285
478.02085141661047,0.062041234586742745,0.005347405569942354
478.4669634604143,0.06288331542106146,0.0054020948293195615
478.9131321507024,0.0636478378368089,0.005447523015439249
479.35935745481896,0.06421038849052756,0.0055098452489674085
479.8056393401084,0.06448781383376202,0.00562404016439401
480.25197777391503,0.06446839494784766,0.005758362604611478
480.69837272358325,0.06422136238220161,0.005807435915940406
481.14482415645733,0.06387932087083863,0.0056717027083737345
481.5913320398816,0.06359697829398445,0.005344941870202193
482.0378963412004,0.06349947615111072,0.004942695482244447
482.48451702775816,0.06363912404855226,0.004644841468752272
482.9311940668991,0.06397769669261347,0.0045610598414026265
483.37792742596764,0.06440254231098884,0.00463548668037402
483.8247170723081,0.06477125460092911,0.004717099079003196
484.2715629732648,0.06496715835867108,0.004691235745942699
484.7184650961821,0.06494278786858153,0.004536076641900522
485.16542340840437,0.06473409679518677,0.004314184862802502
485.61243787727585,0.0644416323568898,0.004134797866791873
486.05950847014094,0.06418919954132032,0.004093284477233098
486.50663515434405,0.06407857445583898,0.004209861124663963
486.9538178972294,0.06415761930380186,0.004424216003313551
487.40105666614136,0.06441090248495832,0.0046500752636820224
487.8483514284243,0.0647720645363237,0.004826637754781943
488.2957021514225,0.06515049678040655,0.0049342865169200315
488.74310880248044,0.06546265449063593,0.004982245940185907
489.1905713489422,0.06565888551500523,0.004983451086204868
489.63808975815243,0.06573842442727092,0.0049373376046131625
490.0856639974553,0.06574817851483016,0.004838264877769783
490.53329403419514,0.06576558482474734,0.004700791617443297
490.9809798357163,0.06587116373597415,0.004568395064973969
491.4287213693632,0.06612012491966217,0.004483897741758761
491.87651860248,0.06652270257709286,0.004447746855784229
492.3243715024113,0.06703959479838463,0.004419667330196467
492.77228003650123,0.06759335619425341,0.004367924273755823
493.22024417209417,0.06809122802092493,0.0043052015632086315
493.6682638765345,0.0684516226574866,0.004265405104559473
494.11633911716655,0.06862601532978944,0.00424528637247747
494.56446986133466,0.06861014199407248,0.004185518934835888
495.01265607638317,0.06844226359558973,0.004020689224471929
495.4608977296564,0.06819037616520213,0.0037419088889210647
495.90919478849867,0.06793319953451851,0.0034137031918486612
496.3575472202544,0.06774070982316845,0.0031319834724910607
496.8059549922678,0.06765895980200574,0.0029486604020988417
497.2544180718833,0.06770199692776738,0.0028336690053957026
497.70293642644526,0.06785194740302639,0.0027210535052054714
498.151510023298,0.06806692787152278,0.002575239471864636
498.6001388297858,0.06829484564145423,0.002406830953804723
499.0488228132531,0.06848932518361082,0.0022440768083498044
499.49756194104407,0.0686228251537272,0.002100688184184079
499.94635618050324,0.06869254566621343,0.0019741879092449698
500.39520549897486,0.06871730805538621,0.0018703740541377515
500.84410986380334,0.0687273092635598,0.0018138245706125398
501.2930692423329,0.0687515841094115,0.0018207584412507183
501.7420836019079,0.06880842249777322,0.0018668659812541863
502.19115290987276,0.06890176047218198,0.0018987746217201907
502.6402771335718,0.06902333916515764,0.0018726717781708776
503.08945624034925,0.06915825826380329,0.0017762137678204231
503.53869019754956,0.06929128744391974,0.0016258457436839598
503.9879789725171,0.06941218578127871,0.0014529476458194869
504.4373225325961,0.06951904609685226,0.0012913189408585203
504.8867208451309,0.06961890935714912,0.0011696289674798137
